id,ra,dec,mjd,cmag,cerr,filter
169.42996,185.4311535419852,-31.995320949793296,57112.18687316682,21.040241,0.028292,i
169.42996,185.43115292229012,-31.995321416616758,57112.18893048167,21.236675,0.035086,g
169.42996,185.43115300370457,-31.9953202339331,57112.19099496258,21.18941,0.028098,r
169.42996,185.4311528444609,-31.99532045611878,57112.19304729672,21.16667,0.035912,i
169.42996,185.431155495229,-31.99532223166018,57112.19510692032,21.252003,0.036795,g
169.42996,185.43115436012636,-31.99532166733512,57112.19716156693,21.206457,0.029302,r
169.42996,185.431154563282,-31.995320284201487,57112.19922080822,21.07178,0.028189,i
169.42996,185.43115230114407,-31.995320772074532,57112.20242920704,21.299507,0.042023,g
169.42996,185.4311525519807,-31.995320388395527,57112.204500800464,21.181389,0.024587,r
169.42996,185.4311529618836,-31.99532035953745,57112.20656433329,21.063807,0.036531,i
169.42996,185.43115433905692,-31.99532165014457,57112.20861871168,21.28849,0.035388,g
169.42996,185.43115364128423,-31.99532128508689,57112.21067901561,21.183834,0.025289,r
169.42996,185.43115482842225,-31.9953213952349,57112.212743346114,21.041523,0.036428,i
169.42996,185.43115299266705,-31.995320337362735,57112.21480989177,21.325048,0.039208,g
169.42996,185.4311537641488,-31.99532033547444,57112.21691870643,21.215097,0.023182,r
169.42996,185.4311527397908,-31.99532082852269,57112.21898834826,21.099064,0.028497,i
169.42996,185.43115458327145,-31.99532158120239,57112.22103560204,21.288189,0.040515,g
169.42996,185.43115507616105,-31.99532234788064,57112.22309360979,21.20259,0.032212,r
169.42996,185.4311533012037,-31.99532109250273,57112.225168468896,21.111887,0.027572,i
169.42996,185.4311546948233,-31.99532136974969,57112.22724048141,21.352499,0.03388,g
169.42996,185.43115328338337,-31.99532014913122,57112.22930681147,21.214302,0.024486,r
169.42996,185.4311530287963,-31.99532064190947,57112.23137569893,21.15882,0.031688,i
169.42996,185.431155386658,-31.9953217639601,57112.233430751134,21.326612,0.036896,g
169.42996,185.43115492864865,-31.995321763360995,57112.23548416374,21.248156,0.031308,r
169.42996,185.4311536876048,-31.9953203143192,57112.23754429398,21.167402,0.032614,i
169.42996,185.43115470185333,-31.99532148714635,57112.23960240791,21.392496,0.038102,g
169.42996,185.43115318009157,-31.995320653681954,57112.24165952299,21.22935,0.029202,r
169.42996,185.4311534221756,-31.995320551045985,57112.24372353824,21.162355,0.034881,i
169.42996,185.4311557790706,-31.995321550270983,57112.24578106031,21.391445,0.042927,g
169.42996,185.43115363375912,-31.99532135784339,57112.24783503963,21.257906,0.024285,r
169.42996,185.43115326514237,-31.99532083489938,57112.249904349446,21.128696,0.035397,i
169.42996,185.4311546488809,-31.99532065623049,57112.25196385058,21.421797,0.045943,g
169.42996,185.4311531596464,-31.995320344590663,57112.25403001485,21.309637,0.031408,r
169.42996,185.4311526020651,-31.995320116845992,57112.25608116994,21.226051,0.036221,i
169.42996,185.43115524283724,-31.99532238406257,57112.25814789068,21.37686,0.04142,g
169.42996,185.43115382725415,-31.99532032408139,57112.260230232496,21.200418,0.029703,r
169.42996,185.43115422675487,-31.99532028680734,57112.26229256205,21.110243,0.031276,i
169.42996,185.431155585485,-31.995321369421852,57112.264358452056,21.504786,0.044938,g
169.42996,185.4311530854228,-31.995320437368807,57112.26642113505,21.213013,0.028399,r
169.42996,185.4311531966149,-31.99532033850808,57112.26847825339,21.17891,0.039417,i
